aoi,cache,whittle,V,policy
184,0,99.1815096102655,-1839.9999999999993,1
184,1,-0.00037252530455589294,-1939.9999999999993,0
185,0,25.940054532140493,-1849.9999999999993,1
185,1,-0.00037252530455589294,-1949.9999999999993,0
186,0,97.65564596280456,-1859.9999999999993,1
186,1,-0.00037252530455589294,-1959.9999999999993,0
187,0,49.60286187753081,-1869.9999999999993,1
187,1,-0.00037252530455589294,-1969.9999999999993,0
188,0,10.693338867276907,-1879.9999999999993,1
188,1,-0.00037252530455589294,-1979.9999999999993,0
189,0,10.305912550538778,-1889.9999999999993,1
189,1,-0.00037252530455589294,-1989.9999999999993,0
190,0,9.999696750193834,-1899.9999999999993,1
190,1,-0.00037252530455589294,-1999.9999999999993,0
191,0,48.89953410252929,-1909.9999999999993,1
191,1,-0.00037252530455589294,-1951.1758456326593,0
192,0,9.999696750193834,-1919.9999999999993,1
192,1,-0.00037252530455589294,-2019.9999999999993,0
193,0,97.75101244077086,-1929.9999999999993,1
193,1,-0.00037252530455589294,-2029.9999999999993,0
194,0,97.65564596280456,-1939.9999999999993,1
194,1,-0.00037252530455589294,-2039.9999999999993,0
195,0,10.299952145665884,-1949.9999999999993,1
195,1,-0.00037252530455589294,-2049.999999999999,0
196,0,97.65564596280456,-1959.9999999999993,1
196,1,-0.00037252530455589294,-2059.999999999999,0
197,0,12.208026755601168,-1964.319945632659,1
197,1,-0.00037252530455589294,-2069.999999999999,0
198,0,98.43049859628081,-1969.005535632659,1
198,1,-0.00037252530455589294,-2079.999999999999,0
199,0,6.1261786334216595,-1974.2225666326592,1
199,1,-0.00037252530455589294,-2089.999999999999,0
200,0,9.537765372544527,-1979.917894532659,1
200,1,-0.00037252530455589294,-2099.999999999999,0
201,0,50.54460584744811,-1986.043689642659,1
201,1,-0.00037252530455589294,-2109.999999999999,0
202,0,7.177445042878389,-1992.5569052416593,1
202,1,-0.00037252530455589294,-2119.999999999999,0
203,0,48.8369498513639,-1999.4187992807592,1
203,1,-0.00037252530455589294,-2129.999999999999,0
204,0,7.713136430829763,-2006.5945039159494,1
204,1,-0.00037252530455589294,-2139.999999999999,0
205,0,100.70737325772643,-2014.0526380876204,1
205,1,-0.00037252530455589294,-2149.999999999999,0
206,0,8.146755885332823,-2021.764958842124,1
206,1,-0.00037252530455589294,-2159.999999999999,0
207,0,8.332273487001657,-2029.7060475211777,1
207,1,-0.00037252530455589294,-2169.999999999999,0
208,0,8.49990987405181,-2037.8530273323256,1
208,1,-0.00037252530455589294,-2179.999999999999,0
209,0,8.648919995874166,-2046.185309162359,1
209,1,-0.00037252530455589294,-2189.999999999999,0
210,0,8.784519206732512,-2054.684362809389,1
210,1,-0.00037252530455589294,-2199.999999999999,0
211,0,8.905962456017733,-2063.333511091716,1
211,1,-0.00037252530455589294,-2209.999999999999,0
212,0,9.015484895557165,-2072.117744545811,1
212,1,-0.00037252530455589294,-2219.999999999999,0
213,0,97.65788111463189,-2081.023554654495,1
213,1,-0.00037252530455589294,-2229.999999999999,0
214,0,18.323402155190706,-2090.038783752312,1
214,1,-0.00037252530455589294,-2239.999999999999,0
215,0,9.282213013619184,-2099.1524899403457,1
215,1,-0.00037252530455589294,-2249.999999999999,0
216,0,9.353737872093916,-2108.3548255095775,1
216,1,-0.00037252530455589294,-2259.999999999999,0
217,0,97.84637891873717,-2117.636927521886,1
217,1,-0.00037252530455589294,-2269.9999999999986,0
218,0,97.75101244077086,-2179.9999999999973,1
218,1,-0.00037252530455589294,-2279.9999999999986,0
219,0,48.82949934527278,-2189.9999999999973,1
219,1,-0.00037252530455589294,-2289.9999999999986,0
220,0,10.683653209358454,-2199.9999999999973,1
220,1,-0.00037252530455589294,-2299.9999999999986,0
221,0,9.999696750193834,-2209.9999999999973,1
221,1,-0.00037252530455589294,-2309.9999999999986,0
222,0,10.00640220567584,-2219.9999999999973,1
222,1,-0.00037252530455589294,-2319.9999999999986,0
223,0,9.999696750193834,-2229.9999999999973,1
223,1,-0.00037252530455589294,-2329.9999999999986,0
224,0,97.65564596280456,-2239.9999999999973,1
224,1,-0.00037252530455589294,-2339.9999999999986,0
225,0,24.414190884679556,-2249.9999999999973,1
225,1,-0.00037252530455589294,-2349.9999999999986,0
226,0,9.999696750193834,-2259.9999999999973,1
226,1,-0.00037252530455589294,-2359.9999999999986,0
227,0,97.65564596280456,-2269.9999999999973,1
227,1,-0.00037252530455589294,-2369.9999999999986,0
228,0,10.31485315784812,-2279.9999999999986,1
228,1,-0.00037252530455589294,-2379.9999999999986,0
229,0,9.999696750193834,-2289.9999999999986,1
229,1,-0.00037252530455589294,-2389.9999999999986,0
230,0,10.311872955411673,-2299.9999999999986,1
230,1,-0.00037252530455589294,-2399.9999999999986,0
231,0,13.354659643024206,-2309.9999999999986,1
231,1,-0.00037252530455589294,-2409.9999999999986,0
232,0,9.999696750193834,-2319.9999999999986,1
232,1,-0.00037252530455589294,-2419.9999999999986,0
233,0,10.684398259967566,-2329.9999999999986,1
233,1,-0.00037252530455589294,-2429.9999999999986,0
234,0,10.015342812985182,-2339.9999999999986,1
234,1,-0.00037252530455589294,-2439.9999999999986,0
235,0,9.999696750193834,-2349.9999999999986,1
235,1,-0.00037252530455589294,-2449.9999999999986,0
236,0,9.999696750193834,-2359.9999999999986,1
236,1,-0.00037252530455589294,-2459.9999999999986,0
237,0,10.681418057531118,-2369.9999999999986,1
237,1,-0.00037252530455589294,-2469.9999999999986,0
238,0,97.66160636767745,-2379.9999999999986,1
238,1,-0.00037252530455589294,-2479.9999999999986,0
239,0,9.999696750193834,-2389.9999999999986,1
239,1,-0.00037252530455589294,-2489.9999999999986,0
240,0,9.999696750193834,-2399.9999999999986,1
240,1,-0.00037252530455589294,-2499.9999999999986,0
241,0,10.00193190202117,-2409.9999999999986,1
241,1,-0.00037252530455589294,-2509.9999999999986,0
242,0,10.299952145665884,-2419.9999999999986,1
242,1,-0.00037252530455589294,-2519.9999999999986,0
243,0,97.66756677255034,-2429.9999999999986,1
243,1,-0.00037252530455589294,-2529.9999999999986,0
244,0,48.828009244054556,-2439.9999999999986,1
244,1,-0.00037252530455589294,-2539.9999999999986,0
245,0,9.999696750193834,-2449.9999999999986,1
245,1,-0.00037252530455589294,-2549.9999999999986,0
246,0,12.25496494397521,-2459.9999999999986,1
246,1,-0.00037252530455589294,-2559.9999999999986,0
247,0,10.300697196274996,-2469.9999999999986,1
247,1,-0.00037252530455589294,-2569.9999999999986,0
248,0,61.034918423742056,-2479.9999999999986,1
248,1,-0.00037252530455589294,-2579.9999999999986,0
249,0,9.999696750193834,-2489.9999999999986,1
249,1,-0.00037252530455589294,-2589.9999999999986,0
250,0,9.999696750193834,-2499.9999999999986,1
250,1,-0.00037252530455589294,-2599.9999999999986,0
251,0,10.000441800802946,-2509.9999999999986,1
251,1,-0.00037252530455589294,-2609.9999999999986,0
252,0,12.207281704992056,-2519.9999999999986,1
252,1,-0.00037252530455589294,-2619.9999999999986,0
253,0,9.999696750193834,-2529.9999999999986,1
253,1,-0.00037252530455589294,-2629.9999999999986,0
254,0,9.999696750193834,-2539.9999999999986,1
254,1,-0.00037252530455589294,-2639.9999999999986,0
255,0,9.999696750193834,-2549.9999999999986,1
255,1,-0.00037252530455589294,-2649.9999999999986,0
256,0,9.999696750193834,-2559.9999999999986,1
